date,price
11/8/2017,533
11/9/2017,533
11/10/2017,525
11/11/2017,527
11/12/2017,529
11/13/2017,528
11/14/2017,525
11/15/2017,519
11/16/2017,515
11/17/2017,513
11/18/2017,506
11/19/2017,507
11/20/2017,500
11/21/2017,499
11/22/2017,500
11/23/2017,517
11/24/2017,510
11/25/2017,511
11/26/2017,507
11/27/2017,508
11/28/2017,505
11/29/2017,504
11/30/2017,510
12/1/2017,525
12/2/2017,520
12/3/2017,549
12/4/2017,563
12/5/2017,542
12/6/2017,548
12/7/2017,582
12/8/2017,583
12/9/2017,578
12/10/2017,575
12/11/2017,585
12/12/2017,583
12/13/2017,587
12/14/2017,573
12/15/2017,552
12/16/2017,558
12/17/2017,561
12/18/2017,581
12/19/2017,582
12/20/2017,585
12/21/2017,601
12/22/2017,606
12/23/2017,616
12/24/2017,595
12/25/2017,598
12/26/2017,593
12/27/2017,573
12/28/2017,581
12/29/2017,565
12/30/2017,568
12/31/2017,584
1/1/2018,600
1/2/2018,591
1/3/2018,581
1/4/2018,586
1/5/2018,575
1/6/2018,586
1/7/2018,599
1/8/2018,597
1/9/2018,599
1/10/2018,595
1/11/2018,602
1/12/2018,591
1/13/2018,595
1/14/2018,588
1/15/2018,588
1/16/2018,591
1/17/2018,589
1/18/2018,589
1/19/2018,588
1/20/2018,585
1/21/2018,585
1/22/2018,578
1/23/2018,580
1/24/2018,580
1/25/2018,577
1/26/2018,573
1/27/2018,571
1/28/2018,571
1/29/2018,573
1/30/2018,574
1/31/2018,577
2/1/2018,579
2/2/2018,590
2/3/2018,598
2/4/2018,600
2/5/2018,621
2/6/2018,633
2/7/2018,639
2/8/2018,641
2/9/2018,636
2/10/2018,643
2/11/2018,652
2/12/2018,657
2/13/2018,659
2/14/2018,667
2/15/2018,683
2/16/2018,692
2/17/2018,690
2/18/2018,700
2/19/2018,690
2/20/2018,696
2/21/2018,707
2/22/2018,720
2/23/2018,717
2/24/2018,742
2/25/2018,726
2/26/2018,726
2/27/2018,824
2/28/2018,726
3/1/2018,726
3/2/2018,823
3/3/2018,823
3/4/2018,824
3/5/2018,813
3/6/2018,822
3/7/2018,821
3/8/2018,803
3/9/2018,791
3/10/2018,788
3/11/2018,802
3/12/2018,787
3/13/2018,779
3/14/2018,806
3/15/2018,802
3/16/2018,800
3/17/2018,823
3/18/2018,823
3/19/2018,823
3/20/2018,821
3/21/2018,823
3/22/2018,802
3/23/2018,830
3/24/2018,832
3/25/2018,847
3/26/2018,899
3/27/2018,889
3/28/2018,894
3/29/2018,866
3/30/2018,930
3/31/2018,936
4/1/2018,972
4/2/2018,993
4/3/2018,958
4/4/2018,950
4/5/2018,972
4/6/2018,997
4/7/2018,1018
4/8/2018,1017
4/9/2018,999
4/10/2018,951
4/11/2018,971
4/12/2018,947
